호선,역명,형식,길이(M),층수,면적(㎡),준공년도
7,수락산,복합식,165,B3,"10,488.20",1997
7,마들,섬식,165,B3,"9,595.60",1996
7,노원,섬식,165,1FB3,"13,446.10",1996
7,중계,섬식,165,B3,"9,146.30",1996
7,하계,섬식,165,B3,"9,222.10",1996
7,공릉,상대식,165,B4,"8,554.60",1996
7,태릉입구,상대식,165,B4,"15,318.60",1996
7,먹골,상대식,165,B3,"9,265.70",1996
7,중화,상대식,165,B3,"8,929.70",1996
7,상봉,상대식,165,B3,"9,007.00",1997
7,면목,상대식,165,B4,"8,621.00",1997
7,사가정,상대식,165,B4,"8,149.00",1996
7,용마산,상대식,165,B4,"8,266.00",1996
7,중곡,상대식,165,B3,"5,923.50",1996
7,군자,상대식,165,B3,"7,953.50",1996
7,어린이대공원,상대식,165,B3,"9,679.30",1996
7,건대입구,상대식,165,B3,"11,067.50",1997
7,뚝섬유원지,상대식,165,3F,"5,768.10",2001
7,청담,복합식,165,B4,"20,302.80",2001
7,강남구청,상대식,165,B3,"10,359.30",2001
7,학동,상대식,165,B3,"9,293.10",2001
7,논현,상대식,165,B3,"11,834.60",2001
7,반포,상대식,165,B3,"12,401.80",2001
7,고속터미널,상대식,165,B3,"12,911.00",2001
7,내방,상대식,165,B3,"9,963.90",2000
7,이수,상대식,165,B4,"18,812.70",2000
7,남성,상대식,165,B3,"8,852.20",2000
7,숭실대입구,상대식,165,B6,"9,358.40",2000
7,상도,상대식,165,B3,"8,419.00",2000
7,장승배기,상대식,165,B3,"9,111.60",2000
7,신대방삼거리,상대식,165,B3,"8,732.30",2000
7,보라매,섬식,165,B2,"8,423.10",2000
7,신풍,상대식,165,B2,"7,927.20",2000
7,대림,상대식,165,B2,"9,357.50",2000
7,남구로,상대식,165,B5,"9,854.40",2000
7,가산디지털단지,상대식,165,B4,"12,551.50",2000
7,철산,상대식,165,B2,"7,406.20",2000
7,광명사거리,복합식,165,B3,"8,713.60",2000
7,천왕,상대식,165,B2,"11,025.80",2000
7,온수,복합식,165,B2,"18,459.40",2000
8,암사,상대식,125,B2,"4,887.40",1999
8,천호,상대식,125,B2,"5,137.50",1999
8,강동구청,상대식,125,B3,"5,613.20",1999
8,몽촌토성,상대식,125,B3,"7,414.70",1999
8,잠실,상대식,125,B3,"15,695.30",1997
8,석촌,상대식,125,B2,"6,991.20",1997
8,송파,상대식,125,B2,"5,079.20",1996
8,가락시장,상대식,125,B2,"7,728.10",1996
8,문정,상대식,125,B2,"5,194.00",1997
8,장지,상대식,125,B2,"5,727.90",1997
8,복정,섬식,125,B2,"6,585.90",1997
8,남위례,상대식,125,B2,"4,177.50",2021
8,산성,상대식,125,B4,"6,526.60",1997
8,남한산성입구,상대식,125,B3,"5,412.30",1997
8,단대오거리,상대식,125,B3,"8,133.20",1997
8,신흥,상대식,125,B2,"4,861.60",1997
8,수진,상대식,125,B2,"5,067.30",1997
8,모란,상대식,125,B3,"9,918.80",1997
