연번,호선,역명,승강장유형,길이,층수,면적,준공연도
245,7,숭실대입구,상대식,165,B6,9358.4,2000
246,7,상도,상대식,165,B3,8419.02,2000
247,7,장승배기,상대식,165,B3,9111.6,2000
248,7,신대방삼거리,상대식,165,B3,8732.26,2000
249,7,보라매,섬식,165,B2,8423.05,2000
250,7,신풍,상대식,165,B2,7927.19,2000
251,7,대림,상대식,165,B2,9357.53,2000
252,7,남구로,상대식,165,B5,9854.36,2000
253,7,가산디지털단지,상대식,165,B4,12551.53,2000
254,7,철산,상대식,165,B2,7406.21,2000
255,7,광명사거리,복합식,165,B3,8713.58,2000
256,7,천왕,상대식,165,B2,11025.75,2000
257,7,온수,복합식,165,B2,18459.41,2000
258,8,암사역사공원,상대식,125,B2,7665.57,2024
259,8,암사,상대식,125,B2,4887.4,1999
260,8,천호,상대식,125,B2,5137.5,1999
261,8,강동구청,상대식,125,B3,5613.2,1999
262,8,몽촌토성,상대식,125,B3,7414.7,1999
263,8,잠실,상대식,125,B3,15695.34,1997
264,8,석촌,상대식,125,B2,6991.2,1997
265,8,송파,상대식,125,B2,5079.19,1996
266,8,가락시장,상대식,125,B2,7728.13,1996
267,8,문정,상대식,125,B2,5193.95,1997
268,8,장지,상대식,125,B2,5727.89,1997
269,8,복정,섬식,125,B2,6585.85,1997
270,8,남위례,상대식,125,3F,4177.54,2021
271,8,산성,상대식,125,B4,6526.63,1997
272,8,남한산성입구,상대식,125,B3,5412.29,1997
273,8,단대오거리,상대식,125,B3,8133.22,1997
274,8,신흥,상대식,125,B2,4861.61,1997
275,8,수진,상대식,125,B2,5067.31,1997
258,8,모란,상대식,125,B3,9918.77,1997
